gene,gene_name,log2_foldchange,gene_description,crz1,cna1
407,,-3.42,Glyoxal oxidase,,yes
2030,,-1.95,Glyoxal oxidase,,yes
3464,LAC2,-1.71,Laccase,,yes
5731,,-1.24,Glyoxal oxidase,,yes
2415,,-1.1,Annexin XIV,,yes
3316,RDI1,-1.02,Rho GDP-dissociation inhibitor 1,,yes
4634,,-1.02,,,yes
7725,ROX1,-2.94,Specific transcriptional repressor,,yes
6658,,-1.62,Rhomboid family membrane protein,,yes
5889,,-1.61,SH3YL1 protein,,yes
5521,,-1.42,Aldose reductase,,yes
5072,,-1.32,Endopeptidase,,yes
6748,UTP7,-1.26,U3 snoRNA-associated protein 7 ,,yes
3463,LSP1,-1.19,Sphingolipid long chain base-responsive protein ,,yes
6499,,-1.17,Ppapdc1 protein,,yes
2602,,-1.16,Flavonol synthase ,,yes
3019,,-1.12,Long-chain acyl-CoA synthase,,yes
4016,,-1.09,,,yes
3599,,1.13,Mandelate racemase/muconate lactonizing enzyme,,yes
4523,,1.6,Glyceraldehyde 3-phosphate dehydrogenase,,yes
588,,-5.25,Ricin-type beta-trefoil lectin domain,,yes
4891,,-4.45,Ricin-type beta-trefoil lectin domain,,yes
2864,,-3.83,,,yes
3223,,-3.47,Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family,,yes
2526,,-3.41,,,yes
4903,,-3.18,,,yes
2685,,-3.1,Fasciclin domain,,yes
5641,,-3.04,,,yes
1081,,-2.98,NADH(P)-binding  domain,,yes
2156,,-2.87,,,yes
5916,,-2.77,,,yes
5158,,-2.74,,,yes
7981,,-2.57,,,yes
1506,,-2.55,,,yes
587,,-2.53,,,yes
3007,,-2.45,,,yes
5660,,-2.4,,,yes
5654,,-2.32,SUR7/PalI family domain,,yes
586,,-2.26,,,yes
3783,,-2.25,ubiE/COQ5 methyltransferase family,,yes
3224,,-2.24,,,yes
691,,-2.2,,,yes
5915,,-2.18,,,yes
7498,,-2.1,DUF567 domain containing protein,,yes
6863,,-2.09,,,yes
3782,,-2.09,,,yes
1942,,-1.98,,,yes
3154,,-1.96,,,yes
5448,,-1.86,,,yes
485,,-1.82,,,yes
3227,,-1.75,Avr1-like family domain,,yes
4459,,-1.74,,,yes
4606,,-1.67,,,yes
7658,,-1.66,,,yes
1121,,-1.65,,,yes
301,,-1.61,,,yes
4094,,-1.58,,,yes
2510,,-1.57,,,yes
4256,,-1.53,Zinc finger with UFM1-specific peptidase domain ,,yes
1525,,-1.53,,,yes
1272,,-1.51,,,yes
4737,,-1.5,,,yes
5089,,-1.49,,,yes
3047,,-1.46,Organic solute transporter Ostalpha domain,,yes
7943,,-1.45,DUF1183 domain,,yes
2661,,-1.4,Glycosyl hydrolase catalytic core,,yes
6149,,-1.4,,,yes
5159,,-1.39,,,yes
4681,,-1.33,,,yes
3161,,-1.32,,,yes
1087,,-1.31,"Zinc finger, C3HC4 type domain",,yes
5412,,-1.25,,,yes
647,,-1.24,,,yes
7549,,-1.23,FYVE zinc finger,,yes
668,,-1.22,,,yes
4874,,-1.2,"Probable endo-1,3(4)-beta-glucanase",,yes
2125,,-1.11,,,yes
3314,,-1.08,YTH domain family 2,,yes
1174,,-1.07,Pheromone-regulated membrane protein 10,,yes
4478,,-1.07,,,yes
6311,,-1.03,,,yes
4634,,-1.02,,,yes
5972,,1.36,,,yes
1230,CDA2,-2.13,Chitin deactylase 2,yes,
6835,KRE61,-1.47,Glucosidase,yes,
546,CHS6,-2.58,Chitin synthase 6,yes,
5803,EXG1,-1.38,"Exo-β-1,3-glucanase",yes,
5818,CHS5,-2.99,Chitin synthase 5,yes,
6336,BGL2,-2.22,"Glucan 1,3 β-glucosidase",yes,
6501,GAS1,-2.29,"1,3-β-glucanosyltransferase",yes,
5458,,-1.33,"Endo-1,3(4)-β-glucanase",yes,
5138,SPR1,-1.85,"Exo-β-1,3-glucanase",yes,
3412,CTS1,-1.09,Chitinase 1,yes,
2217,CHS7,-1.7,Chitin synthase 7,yes,
663,,-1.17,,yes,
3135,,-1.82,Magnesium transporter NIPA2,yes,
3242,RIM2,-1.02,Peroxisomal membrane protein,yes,
