GeneID,GeneName,GeneDescription,Dataset
5331,,  ,cna1_no_stress
3051,,Polyamine transporter ,cna1_no_stress
2864,,,cna1_no_stress
6203,, ,cna1_no_stress
5803,EXG1,"Exo-β-1,3-glucanase",cna1_no_stress
6598,, ,cna1_no_stress
6082,,Delayed-type hypersensitivity antigen ,cna1_no_stress
1621,,      ,cna1_no_stress
5239,,Cytoplasmic protein ,cna1_no_stress
2722,,Aldose reductase ,cna1_no_stress
6666,,Glycogen phosphorylase ,cna1_no_stress
1704,,Serine/threonine protein kinase ,cna1_no_stress
6009,,Cyclohydrolase ,cna1_no_stress
2264,,AFG1-family ATPase ,cna1_no_stress
4696,,DNA clamp loader ,cna1_no_stress
4307,URO1,Uricase ,cna1_no_stress
1272,,  ,cna1_no_stress
1949,,L-iditol 2-dehydrogenase ,cna1_no_stress
2934,,,cna1_no_stress
6918,,,cna1_no_stress
5662,ITR4,Myo-inositol transporter,cna1_no_stress
1223,,,cna1_no_stress
601,,Glycosyl hydrolase ,cna1_no_stress
3238,,Dioxygenase subfamily protein ,cna1_no_stress
1562,,  ,cna1_no_stress
301,,,crz1_no_stress
