gene	geneName	baseMean	log2FC	stderror	padj
CNAG_06393	NA	99.539	-0.416	0.203	NA
CNAG_06394	NA	70.952	-0.371	0.226	NA
CNAG_06395	NA	21.742	0.073	0.389	NA
CNAG_06396	NA	80.53	0.374	0.214	NA
CNAG_06399	NA	194.406	0.157	0.153	0.6314
CNAG_06400	PMA1	9683.142	0.32	0.123	0.1135
CNAG_06401	RIC8	215.037	-0.16	0.152	0.6184
CNAG_06402	NA	1800.603	-0.077	0.107	0.7587
CNAG_06403	NA	185.747	-0.123	0.173	0.7615
CNAG_06404	NA	243.283	0.36	0.153	0.1624
CNAG_06405	NA	108.425	-0.059	0.2	NA
CNAG_06406	NA	350.437	-0.036	0.137	0.9301
CNAG_06407	NA	8435.912	0.015	0.104	0.9688
CNAG_06408	NA	160.5	-0.089	0.163	0.8234
CNAG_06409	NA	75.915	-0.069	0.225	NA
CNAG_06410	NA	714.302	-0.011	0.113	0.9805
CNAG_06411	NA	43.629	0.038	0.284	NA
CNAG_06412	NA	1034.898	0.234	0.145	0.3941
CNAG_06413	NA	15.288	-1.048	0.471	NA
CNAG_06414	NA	422.443	-0.038	0.132	0.9192
CNAG_06415	CCC2	483.955	0.273	0.165	0.3805
CNAG_06416	DAP2	251.354	-0.095	0.141	0.7744
CNAG_06417	NA	462.108	0.382	0.124	0.04955
CNAG_06418	PTC6	315.806	0	0.139	0.9996
CNAG_06419	NA	72.557	-0.199	0.233	NA
CNAG_06420	NA	1449.913	0.044	0.096	0.8576
CNAG_06421	NA	1775.942	0.059	0.12	0.8455
CNAG_06422	NA	389.283	-0.012	0.136	0.9827
CNAG_06423	NA	128.605	0.075	0.194	NA
CNAG_06424	NA	208.306	0.521	0.179	0.06487
CNAG_06425	PPR1	298.927	0.255	0.175	0.4482
CNAG_06426	NA	1998.781	0.203	0.094	0.2161
CNAG_06427	NA	202.856	0.027	0.166	0.9654
CNAG_06428	OTU1	472.151	-0.093	0.137	0.7727
CNAG_06431	NA	89.651	-0.091	0.218	NA
CNAG_06432	NA	272.395	0.194	0.14	0.4836
CNAG_06433	NA	133.521	0.032	0.172	NA
CNAG_06434	NA	292.717	-0.246	0.137	0.3355
CNAG_06435	NA	340.591	-0.016	0.132	0.9758
CNAG_06436	NA	293.218	-0.196	0.139	0.4745
CNAG_06437	NA	1754.641	0.282	0.109	0.1143
CNAG_06438	NA	43.152	0.039	0.294	NA
CNAG_06439	ALO1	307.596	0.144	0.151	0.6634
CNAG_06440	NA	42.44	0.163	0.299	NA
CNAG_06441	NA	451.73	0.011	0.139	0.9831
CNAG_06443	SSA1	16946.974	0.204	0.102	0.2698
CNAG_06444	NA	434.501	0.07	0.123	0.8183
CNAG_06445	NA	123.065	-0.421	0.182	NA
CNAG_06446	NA	930.503	-0.12	0.113	0.6152
CNAG_06447	RPL17	13723.752	-0.088	0.101	0.6985
CNAG_06448	NA	4.682	-0.072	0.815	NA
CNAG_06449	NA	28.441	-0.368	0.363	NA
CNAG_06450	NA	514.084	0.177	0.116	0.427
CNAG_06451	NA	684.542	0.054	0.116	0.8555
CNAG_06452	NA	311.362	0.147	0.147	0.6418
