gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04615	NA	140.603	0.34	0.177	0.1008
CNAG_04616	NA	35.128	0.407	0.34	0.3318
CNAG_04617	NA	91.417	-0.213	0.206	0.4136
CNAG_04618	NA	132.324	0.619	0.173	0.001135
CNAG_04619	NA	38.008	-0.523	0.302	0.145
CNAG_04620	NA	385.186	0.478	0.133	0.001119
CNAG_04621	NA	941.883	2.617	0.137	5.1709999999999993e-79
CNAG_04622	NA	1310.456	1.093	0.136	1.399e-14
CNAG_04623	NA	85.436	2.569	0.286	7.036e-18
CNAG_04625	NA	3232.972	0.358	0.094	4.873e-4
CNAG_04626	NA	49.953	1.338	0.289	1.89e-5
CNAG_04627	NA	254.155	-0.163	0.147	0.3734
CNAG_04628	NA	1246.021	-0.54	0.092	3.878e-8
CNAG_04629	NA	299.688	-0.197	0.16	0.3182
CNAG_04630	YAP2	563.097	0.735	0.128	7.903e-8
CNAG_04631	RIK1	282.842	1.684	0.186	2.955e-18
CNAG_04632	NA	101.889	-0.824	0.221	6.994e-4
CNAG_04633	NA	466.653	-0.362	0.121	0.007406
CNAG_04634	NA	543.261	0.82	0.116	1.759e-11
CNAG_04635	NA	3165.812	0.278	0.106	0.02051
CNAG_04636	NA	230.954	0.1	0.166	0.6503
CNAG_04637	MBF1	5883.725	-0.167	0.084	0.09016
CNAG_04638	NA	72.445	0.276	0.237	0.3455
CNAG_04639	NA	690.694	0.32	0.113	0.01185
CNAG_04640	ACL1	2848.614	-0.81	0.152	7.092e-7
CNAG_04641	NA	323.926	0.108	0.135	0.5384
CNAG_04642	TSP2	2590.565	0.108	0.086	0.302
CNAG_04646	NA	333.143	-0.283	0.134	0.06825
CNAG_04647	NA	579.268	0.081	0.143	0.669
CNAG_04648	NA	326.432	-0.083	0.151	0.6817
CNAG_04649	NA	67.227	0.225	0.242	0.4669
CNAG_04650	NA	334.949	-0.208	0.13	0.1787
CNAG_04651	NA	831.132	-0.011	0.108	0.949
CNAG_04652	NA	936.562	0.292	0.11	0.01871
CNAG_04653	NA	142.34	-0.136	0.175	0.5494
CNAG_04654	NA	738.484	-0.095	0.111	0.504
CNAG_04655	NA	167.534	0.029	0.189	0.9162
CNAG_04656	NA	148.974	0.785	0.168	1.633e-5
CNAG_04657	NA	1179.223	1.605	0.126	1.801e-35
CNAG_04658	NA	74.446	0.446	0.216	0.0754
CNAG_04659	PDC1	928.898	1.57	0.132	4.255e-31
CNAG_04662	CTF4	157.873	-0.53	0.171	0.005379
CNAG_04663	NA	143.409	0.29	0.176	0.1656
CNAG_04664	MRPL37	327.39	-0.64	0.145	4.658e-5
CNAG_04665	NA	524.515	-0.191	0.114	0.1568
CNAG_04666	NA	1605.042	-0.138	0.107	0.2915
CNAG_04667	NA	299.619	-0.141	0.155	0.4768
CNAG_04668	UBC12	679.047	-0.07	0.109	0.6288
CNAG_04669	NA	264.398	0.366	0.137	0.01858
CNAG_04670	NA	454.763	-0.178	0.126	0.2453
CNAG_04671	NA	932.503	-0.252	0.104	0.03382
CNAG_04673	NA	80.153	0.247	0.224	0.379
CNAG_04674	ADA3	137.936	-0.207	0.177	0.3455
CNAG_04675	NA	7109.251	0.608	0.154	2.982e-4
CNAG_04676	NA	789.055	0.564	0.11	1.666e-6
CNAG_04677	NA	76.272	-0.511	0.225	0.04855
CNAG_04678	YPK1	821.076	-0.115	0.11	0.403
CNAG_04679	NA	382.659	-0.137	0.126	0.3864
CNAG_04680	NA	133.868	0.439	0.177	0.02961
CNAG_04681	LPI14	1030.15	-0.122	0.101	0.3258
CNAG_04682	NA	273.506	-0.495	0.133	6.885e-4
CNAG_04683	NA	1045.993	-0.726	0.114	1.95e-9
CNAG_04684	SEC23	2957.668	-0.453	0.097	1.709e-5
CNAG_04686	NA	247.751	0.066	0.138	0.7214
CNAG_04687	NA	2630.182	-0.491	0.106	1.888e-5
CNAG_04688	NA	35.772	1.071	0.331	0.00367
CNAG_04689	NA	133.528	-0.229	0.206	0.3752
CNAG_04690	NA	134.311	-0.111	0.209	0.6922
CNAG_04691	NA	20.827	1.218	0.432	0.01231
CNAG_04692	NA	554.354	-1.029	0.122	8.96e-16
CNAG_04693	SIN1	208.906	0.153	0.154	0.4333
CNAG_04694	NA	1362.283	-0.666	0.124	5.87e-7
CNAG_04695	NA	116.405	0.805	0.201	2.576e-4
CNAG_04696	NA	249.946	-0.179	0.141	0.2988
CNAG_04697	NA	367.552	-0.084	0.128	0.6203
CNAG_04698	NA	1188.317	-0.762	0.097	6.375e-14
CNAG_04699	NA	130.527	0.07	0.178	0.777
CNAG_04700	NA	333.579	-0.265	0.127	0.07332
CNAG_04701	NA	391.565	-0.224	0.122	0.1201
CNAG_04702	NA	210.22	0.505	0.147	0.001925
CNAG_04703	NA	802.183	0.177	0.111	0.1821
CNAG_04704	NA	74.316	3.243	0.342	7.224000000000001e-20
CNAG_04705	NA	284.473	0.313	0.133	0.0402
CNAG_04707	NA	132.877	-0.273	0.198	0.2557
