gene	geneName	baseMean	log2FC	stderror	padj
CNAG_02112	NA	77.019	-0.388	0.239	0.2533
CNAG_02113	NA	1274.553	-0.055	0.128	0.8107
CNAG_02114	NA	773.594	0.57	0.134	3.738e-4
CNAG_02115	NHP6B02	715.992	-0.295	0.12	0.05702
CNAG_02116	NA	183.433	0.157	0.17	0.566
CNAG_02117	NA	385.833	-0.35	0.138	0.0505
CNAG_02118	NA	5.355	0.713	0.78	0.5695
CNAG_02119	NA	321.244	0.12	0.165	0.6614
CNAG_02120	NA	897.81	-0.86	0.185	7.421e-5
CNAG_02121	NA	215.231	0.047	0.151	0.8695
CNAG_02122	NA	612.588	-0.091	0.123	0.6569
CNAG_02123	NA	192.901	-0.066	0.169	0.8311
CNAG_02124	NA	65.668	0.391	0.255	0.286
CNAG_02125	NA	36.69	0.229	0.31	0.6563
CNAG_02126	NA	1573.916	-0.03	0.125	0.8994
CNAG_02127	NA	342.292	-0.102	0.158	0.7047
CNAG_02128	NA	2123.279	-0.416	0.12	0.004498
CNAG_02129	NA	590.76	0.173	0.137	0.4034
CNAG_02130	NSR1	899.097	0.158	0.125	0.4047
CNAG_02131	ISA1	266.358	-0.184	0.159	0.4521
CNAG_02132	NA	103.683	0.167	0.206	0.6226
CNAG_02133	SOL3	1733.829	0.054	0.121	0.8005
CNAG_02134	RSC8	1026.395	0.009	0.12	0.9721
CNAG_02135	NA	56.532	-0.465	0.271	0.2218
CNAG_02136	NA	1478.006	-0.891	0.132	1.577e-9
CNAG_02137	NA	167.283	-0.13	0.172	0.6466
CNAG_02138	NA	179.644	-0.167	0.166	0.5226
CNAG_02139	NA	314.588	0.133	0.159	0.6093
CNAG_02140	NA	1092.71	-0.748	0.144	8.36e-6
CNAG_02141	NA	83.159	0.149	0.221	0.6896
CNAG_02143	NA	86.507	0.649	0.214	0.01484
CNAG_02144	NA	31503.523	-0.265	0.105	0.04952
CNAG_02145	NA	1763.601	-0.123	0.113	0.482
CNAG_02146	NA	0.143	-0.872	4.08	NA
CNAG_02147	NA	72.673	0.057	0.239	0.8997
