gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00416	NA	135.756	-0.3	0.242	0.4314
CNAG_00417	NA	11539.894	0.07	0.105	0.7026
CNAG_00418	NA	7569.656	0.447	0.121	0.002357
CNAG_00419	NA	79.732	-0.119	0.281	0.8203
CNAG_00420	NA	495.991	0.247	0.169	0.3316
CNAG_00421	NA	445.462	-0.178	0.172	0.5262
CNAG_00422	NA	246.104	0.008	0.175	0.9829
CNAG_00423	NA	464.029	0.617	0.176	0.004444
CNAG_00424	NA	643.135	-0.147	0.147	0.5451
CNAG_00425	NA	12.734	-0.563	0.734	0.6559
CNAG_00426	NA	289.692	-0.194	0.2	0.5567
CNAG_00427	PTC5	1753.605	0.356	0.197	0.2045
CNAG_00428	NA	360.378	0.007	0.177	0.9843
CNAG_00429	NA	253.497	1.093	0.226	2.958e-5
CNAG_00430	NA	60.357	0.202	0.36	0.7542
CNAG_00433	NA	186.462	-0.052	0.217	0.9046
CNAG_00434	NA	289.442	0.507	0.173	0.02183
CNAG_00435	NA	56.039	0.573	0.318	0.2079
CNAG_00436	NA	241.649	0.023	0.231	0.9591
CNAG_00437	NA	208.201	0.095	0.195	0.7921
CNAG_00438	NA	90.934	-0.552	0.285	0.1677
CNAG_00439	NA	160.698	0.093	0.227	0.8277
CNAG_00440	SSN801	95.316	0.164	0.276	0.7391
CNAG_00441	IMD1	10831.96	0.399	0.163	0.06407
CNAG_00442	NA	1190.349	0.558	0.206	0.03669
CNAG_00443	NA	45.685	0.573	0.377	0.3095
CNAG_00444	NA	177.753	-0.315	0.222	0.3511
CNAG_00445	NHP6B01	362.45	-0.356	0.156	0.08879
CNAG_00446	NA	1.811	1.884	2.012	0.573
CNAG_00447	NA	2488.276	0.035	0.104	0.8607
CNAG_00448	NA	720.881	-0.207	0.139	0.3187
CNAG_00449	NA	397.212	0.295	0.187	0.2844
CNAG_00450	LEU2	3994.223	-0.421	0.188	0.09804
CNAG_00451	NA	64.897	-0.712	0.3	0.07478
CNAG_00452	NA	48.879	-0.243	0.379	0.7181
CNAG_00453	NA	555.794	0.17	0.152	0.4855
CNAG_00454	NA	11.746	0.438	0.674	0.714
CNAG_00455	UBP16	557.183	0.374	0.154	0.06721
CNAG_00456	ISP6	720.249	0.849	0.173	1.991e-5
CNAG_00457	GLN1	8213.812	0.307	0.158	0.1647
CNAG_00458	NA	1314.729	-0.139	0.153	0.585
CNAG_00460	LIV1	264.524	-0.121	0.214	0.7521
CNAG_00461	NA	1102.37	0.272	0.213	0.4137
CNAG_00462	NA	582.542	0.364	0.165	0.106
CNAG_00463	NA	0.153	-0.066	5.95	0.996
CNAG_00464	NA	1158.803	-0.095	0.155	0.7325
CNAG_00465	NA	1351.345	-0.218	0.187	0.4666
CNAG_00466	NA	535.688	-0.094	0.19	0.7882
CNAG_00467	NA	417.416	0.687	0.187	0.002579
CNAG_00468	NA	747.847	0.039	0.159	0.9027
CNAG_00469	NA	332.557	-0.121	0.203	0.7384
CNAG_00470	NA	341.38	-0.025	0.181	0.9423
CNAG_00471	NA	690.851	-0.44	0.166	0.04173
CNAG_00472	NA	188.822	0.754	0.195	0.001389
CNAG_00473	OST2	1532.812	0.583	0.163	0.003533
CNAG_00474	NA	82.236	0.123	0.388	0.8689
CNAG_00475	NA	260.607	0.511	0.234	0.1086
CNAG_00476	NA	16.26	-0.935	0.565	0.2566
CNAG_00480	NA	259.087	-0.293	0.197	0.3203
CNAG_00481	NA	1.586	-2.167	2.27	0.5643
CNAG_00482	NA	365.842	-0.061	0.155	0.8358
CNAG_00483	ACT1	7817.357	-0.116	0.122	0.5651
CNAG_00484	NA	130.135	-0.422	0.232	0.201
CNAG_00485	NA	303.339	-0.499	0.283	0.2192
CNAG_00486	NA	601.767	0.046	0.16	0.8833
CNAG_00487	NA	111.836	-0.128	0.351	0.849
CNAG_00488	NA	63.175	-0.043	0.299	0.941
CNAG_00490	NA	489.674	-1.59	0.221	4.235e-11
CNAG_00491	NA	603.977	0.266	0.164	0.2716
CNAG_00492	NA	26.115	-0.071	0.511	0.9431
CNAG_00493	NA	119.577	0.485	0.301	0.2731
CNAG_00495	NA	382.453	0.006	0.156	0.9849
CNAG_00496	NA	287.112	-0.022	0.182	0.9494
CNAG_00497	NA	453.668	-1.086	0.181	8.822e-8
CNAG_00498	CDC14	170.896	0.625	0.22	0.02731
CNAG_00499	NA	396.869	-1.211	0.183	2.175e-9
CNAG_00500	PTC1	1674.485	0.047	0.186	0.8994
CNAG_00501	NA	102.683	0.831	0.265	0.0129
CNAG_00502	NA	210.059	-0.243	0.232	0.5218
CNAG_00503	NA	532.129	0.378	0.235	0.2732
CNAG_00504	NA	199.014	-0.104	0.198	0.7747
CNAG_00505	FZC28	95.624	-0.458	0.264	0.2308
CNAG_00506	NA	158.656	0.312	0.228	0.3721
CNAG_00508	VPS17	417.319	-0.01	0.168	0.9767
CNAG_00509	NA	885.45	0.065	0.207	0.87
CNAG_00510	NA	874.94	0.092	0.158	0.7459
CNAG_00511	NA	24.684	-0.505	0.466	0.5048
CNAG_00512	NA	544.021	-0.151	0.156	0.5548
CNAG_00513	NA	265.742	0.082	0.187	0.8135
CNAG_00514	NA	290.173	-0.067	0.175	0.8407
CNAG_00515	NA	98.201	0.91	0.347	0.04411
CNAG_00516	PEX7	84.9	-0.729	0.297	0.0638
CNAG_00517	NA	528.582	0.061	0.166	0.8475
CNAG_00519	ERG3	622.489	0.25	0.182	0.36870000000000003
CNAG_00520	NA	513.006	-0.253	0.187	0.3798
CNAG_00521	NA	294.078	-0.675	0.212	0.0115
CNAG_00522	NA	217.028	-1.735	0.228	2.501e-12
CNAG_00523	NA	134.1	-0.282	0.224	0.4222
CNAG_00524	NA	267.906	-0.958	0.219	1.915e-4
CNAG_00525	NA	157.862	0.164	0.209	0.6471
CNAG_00526	NA	89.532	-0.272	0.331	0.6292
CNAG_00527	NA	1506.931	0.031	0.165	0.9256
CNAG_00528	NA	218.171	-0.485	0.221	0.1057
CNAG_00529	NA	111.346	0.488	0.27	0.2073
CNAG_00531	ENA1	925.712	-1.073	0.183	1.759e-7
CNAG_00532	NA	404.883	0.269	0.183	0.3277
CNAG_00533	TIM50	1345.823	-0.106	0.173	0.7303
CNAG_00534	NA	4049.447	0.121	0.37	0.8654
CNAG_00535	NA	732.716	0.134	0.15	0.5945
CNAG_00536	NA	2234.837	0.278	0.127	0.1058
CNAG_00537	NA	222.474	-1.958	0.34	3.046e-7
CNAG_00538	NA	1485.524	-0.284	0.126	0.09547
CNAG_00539	NA	412.316	-2.139	0.281	2.501e-12
CNAG_00540	NA	21.837	0.235	0.5	0.7994
CNAG_00541	NA	58.332	0.444	0.362	0.4379
CNAG_00542	NA	49.786	0.068	0.358	0.9256
CNAG_00543	NA	2403.719	-0.685	0.162	3.36e-4
CNAG_00544	NA	293.26	0.083	0.186	0.8096
CNAG_00545	NA	266.189	0.036	0.191	0.9254
CNAG_00546	CHS4	513.976	-0.547	0.195	0.02979
CNAG_00547	NA	428.629	0.121	0.193	0.7235
CNAG_00549	NA	0	NA	NA	NA
CNAG_00550	NA	72.101	0.125	0.33	0.8414
CNAG_00551	NA	827.211	0.033	0.154	0.9154
CNAG_00554	ISC1	330.9	-0.188	0.206	0.5844
CNAG_00555	NA	462.188	0.441	0.177	0.05933
CNAG_00556	CCK1	408.964	0.331	0.189	0.2239
CNAG_00557	NA	1672.331	0.293	0.127	0.08493
CNAG_00558	NA	474.494	0.237	0.211	0.4849
CNAG_00559	BZP3	925.57	-1.209	0.178	6.125e-10
