gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04862	NA	103.763	0.074	0.217	0.8391
CNAG_04863	VPS25	148.274	-0.061	0.167	0.8248
CNAG_04864	CIR1	1480.163	0.377	0.098	7.117e-4
CNAG_04865	NA	45.498	-0.303	0.28	0.445
CNAG_04866	NA	145.446	0.133	0.178	0.619
CNAG_04867	NA	327.965	0.441	0.143	0.008507
CNAG_04868	NA	506.452	-0.346	0.111	0.007747
CNAG_04869	PNB1	214.624	-0.185	0.163	0.4186
CNAG_04870	NA	22.104	-0.262	0.391	0.6622
CNAG_04871	NA	192.966	0.197	0.175	0.4239
CNAG_04872	NA	1169.515	-0.309	0.097	0.006333
CNAG_04873	NA	282.561	0.157	0.135	0.408
CNAG_04874	NA	1214.34	0.582	0.104	3.591e-7
CNAG_04875	NA	308.482	-0.227	0.14	0.2174
CNAG_04876	NA	1191.417	-0.318	0.121	0.0293
CNAG_04877	NA	1.806	-1.397	1.424	0.495
CNAG_04878	FZC1	107.802	-0.304	0.191	0.2281
CNAG_04879	NA	145.868	0.345	0.188	0.1524
CNAG_04880	NA	195.785	0.209	0.15	0.3042
CNAG_04882	NA	238.321	0.173	0.139	0.3697
CNAG_04883	NA	22373.279	-0.805	0.086	6.696e-19
CNAG_04884	NA	46330.99	-0.851	0.089	8.533000000000001e-20
